run_name,sweep_tag,use_scaling,alpha,beta,hidden_dim,layer_num,freq_band,stage,stage_task,eval_task,mse,rmse,mae
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,11,MBC_KangNeung_LTE_1.8G.csv,MBC_sa_LTE_1.8G.csv,85.2001,9.2304,6.9855
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,11,MBC_KangNeung_LTE_1.8G.csv,KBS_KangNeung_LTE_1.8G.csv,75.5957,8.6946,5.9129
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,11,MBC_KangNeung_LTE_1.8G.csv,MBC_KangNeung_LTE_1.8G.csv,51.2468,7.1587,4.6495
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,12,TBN_DaeGu_LTE_1.8G.csv,MBC_CheongJu_LTE_1.8G.csv,60.4365,7.7741,6.2181
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,12,TBN_DaeGu_LTE_1.8G.csv,Broad_CheongJu_LTE_1.8G.csv,67.7356,8.2302,6.5376
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,12,TBN_DaeGu_LTE_1.8G.csv,MBC_DaeJeon_LTE_1.8G.csv,76.7285,8.7595,7.1434
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,12,TBN_DaeGu_LTE_1.8G.csv,KBS_DaeJeon_LTE_1.8G.csv,64.1086,8.0068,6.4451
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,12,TBN_DaeGu_LTE_1.8G.csv,CMB_DaeJeon_LTE_1.8G.csv,70.3667,8.3885,6.5780
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,12,TBN_DaeGu_LTE_1.8G.csv,MBC_ChungJu_LTE_1.8G.csv,106.6961,10.3294,7.8910
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,12,TBN_DaeGu_LTE_1.8G.csv,KBS_ChungJu_LTE_1.8G.csv,122.6085,11.0729,8.2094
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,12,TBN_DaeGu_LTE_1.8G.csv,KBS_main_LTE_1.8G.csv,49.6345,7.0452,5.3866
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,12,TBN_DaeGu_LTE_1.8G.csv,SBS_LTE_1.8G.csv,48.0274,6.9302,5.3147
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,12,TBN_DaeGu_LTE_1.8G.csv,MBC_sa_LTE_1.8G.csv,79.7066,8.9279,6.7341
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,12,TBN_DaeGu_LTE_1.8G.csv,KBS_KangNeung_LTE_1.8G.csv,87.6012,9.3596,6.7844
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,12,TBN_DaeGu_LTE_1.8G.csv,MBC_KangNeung_LTE_1.8G.csv,61.0677,7.8146,5.5769
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,12,TBN_DaeGu_LTE_1.8G.csv,TBN_DaeGu_LTE_1.8G.csv,87.0069,9.3277,6.8242
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,13,TBC_DaeGu_LTE_1.8G.csv,MBC_CheongJu_LTE_1.8G.csv,66.8637,8.1770,6.6454
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,13,TBC_DaeGu_LTE_1.8G.csv,Broad_CheongJu_LTE_1.8G.csv,69.4197,8.3318,6.6548
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,13,TBC_DaeGu_LTE_1.8G.csv,MBC_DaeJeon_LTE_1.8G.csv,73.5383,8.5754,7.0006
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,13,TBC_DaeGu_LTE_1.8G.csv,KBS_DaeJeon_LTE_1.8G.csv,63.8140,7.9884,6.4253
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,13,TBC_DaeGu_LTE_1.8G.csv,CMB_DaeJeon_LTE_1.8G.csv,71.4326,8.4518,6.6741
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,13,TBC_DaeGu_LTE_1.8G.csv,MBC_ChungJu_LTE_1.8G.csv,101.0279,10.0513,7.7347
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,13,TBC_DaeGu_LTE_1.8G.csv,KBS_ChungJu_LTE_1.8G.csv,117.6978,10.8489,8.0318
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,13,TBC_DaeGu_LTE_1.8G.csv,KBS_main_LTE_1.8G.csv,57.5999,7.5895,5.8907
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,13,TBC_DaeGu_LTE_1.8G.csv,SBS_LTE_1.8G.csv,54.2914,7.3683,5.7427
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,13,TBC_DaeGu_LTE_1.8G.csv,MBC_sa_LTE_1.8G.csv,80.8388,8.9910,6.8602
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,13,TBC_DaeGu_LTE_1.8G.csv,KBS_KangNeung_LTE_1.8G.csv,90.9608,9.5373,7.2286
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,13,TBC_DaeGu_LTE_1.8G.csv,MBC_KangNeung_LTE_1.8G.csv,65.5938,8.0990,5.9586
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,13,TBC_DaeGu_LTE_1.8G.csv,TBN_DaeGu_LTE_1.8G.csv,89.6214,9.4669,7.0323
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,13,TBC_DaeGu_LTE_1.8G.csv,TBC_DaeGu_LTE_1.8G.csv,86.4133,9.2959,7.0366
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,14,JeonJu_Radio_LTE_1.8G.csv,MBC_CheongJu_LTE_1.8G.csv,61.8405,7.8639,6.2957
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,14,JeonJu_Radio_LTE_1.8G.csv,Broad_CheongJu_LTE_1.8G.csv,66.6913,8.1665,6.4858
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,14,JeonJu_Radio_LTE_1.8G.csv,MBC_DaeJeon_LTE_1.8G.csv,72.2425,8.4996,6.8451
freq_sweep_alpha0.5_beta0.7_hd64_layer2_LTE_1.8G,freq_sweep,True,0.5,0.7,64,2,LTE_1.8G,14,JeonJu_Radio_LTE_1.8G.csv,KBS_DaeJeon_LTE_1.8G.csv,60.7032,7.7912,6.1485
