model,task,mse,rmse,mae
SVR,MBC_CheongJu_LTE_2.1G.csv,57.99263057994577,7.615289264364537,5.166294072087967
SVR,Broad_CheongJu_LTE_2.1G.csv,70.90248920721449,8.420361584113504,5.804145143148483
SVR,MBC_DaeJeon_LTE_2.1G.csv,87.45839030536706,9.351919070723776,6.474461542179857
SVR,KBS_DaeJeon_LTE_2.1G.csv,68.93342390434823,8.30261548575798,5.657632886076929
SVR,CMB_DaeJeon_LTE_2.1G.csv,71.58803283913734,8.460971152245902,5.530350943131801
SVR,MBC_ChungJu_LTE_2.1G.csv,148.31629278665613,12.178517676082592,7.920680045314719
SVR,KBS_ChungJu_LTE_2.1G.csv,135.7681847072359,11.651960552080318,7.705202759333045
SVR,KBS_main_LTE_2.1G.csv,47.44742098243808,6.8882088370227335,4.7560336700285655
SVR,SBS_LTE_2.1G.csv,46.679196716330026,6.832217554815569,4.654022803606062
SVR,MBC_sa_LTE_2.1G.csv,96.66339978805753,9.8317546647614,6.616594029975598
SVR,KBS_KangNeung_LTE_2.1G.csv,123.13361410602587,11.096558660504881,7.20915618150254
SVR,MBC_KangNeung_LTE_2.1G.csv,89.28204556449047,9.448917692756693,5.726241549906897
SVR,TBN_DaeGu_LTE_2.1G.csv,118.67727070174524,10.893909798678584,6.769197563541944
SVR,TBC_DaeGu_LTE_2.1G.csv,126.01488882831667,11.225635341855563,7.05106121697884
SVR,JeonJu_Radio_LTE_2.1G.csv,100.8812296269745,10.043964836008463,6.80847354046472
SVR,KBS_JeonJu_LTE_2.1G.csv,88.67863424824077,9.41693337813541,6.555764864840346
SVR,KBS_MokPo_LTE_2.1G.csv,62.28030794025459,7.89178737297544,5.9689082018814394
SVR,KBS_SunCheon_LTE_2.1G.csv,264.4350108103148,16.261457831643348,11.334415119300404
SVR,KBS_GwangJu_LTE_2.1G.csv,61.92601574031764,7.869308466461182,5.1300144693927825
RandomForest,ALL,75.29974858082898,8.677542773206536,6.167140850584997
RandomForest,MBC_CheongJu_LTE_2.1G.csv,64.35945332082932,8.022434376224545,6.103369644336998
RandomForest,Broad_CheongJu_LTE_2.1G.csv,71.4350831699564,8.451927778321133,6.423338519097822
RandomForest,MBC_DaeJeon_LTE_2.1G.csv,71.09843100800069,8.431988555969504,6.311706718733421
RandomForest,KBS_DaeJeon_LTE_2.1G.csv,62.51770233123639,7.906813664886532,5.893849731483652
RandomForest,CMB_DaeJeon_LTE_2.1G.csv,67.08767643977785,8.190706711864236,5.9880944185641365
RandomForest,MBC_ChungJu_LTE_2.1G.csv,92.16982285726654,9.600511593517636,6.96630180818379
RandomForest,KBS_ChungJu_LTE_2.1G.csv,87.04268900031545,9.329667143061185,6.795275490325985
RandomForest,KBS_main_LTE_2.1G.csv,48.90641489897856,6.993312155122103,5.07431710973696
RandomForest,SBS_LTE_2.1G.csv,45.10914008284003,6.716333827531209,4.825142943054788
RandomForest,MBC_sa_LTE_2.1G.csv,85.49236117361889,9.246207934803266,6.62844346688936
RandomForest,KBS_KangNeung_LTE_2.1G.csv,67.85279687254452,8.237280914995221,4.943696318232575
RandomForest,MBC_KangNeung_LTE_2.1G.csv,49.81525618130298,7.057992361947056,3.9861326683979836
RandomForest,TBN_DaeGu_LTE_2.1G.csv,88.61203598704871,9.413396623273064,6.831468666017771
RandomForest,TBC_DaeGu_LTE_2.1G.csv,85.49819522197893,9.24652341271999,6.678012901125775
RandomForest,JeonJu_Radio_LTE_2.1G.csv,77.17164139828628,8.78473911953487,6.287142752507884
RandomForest,KBS_JeonJu_LTE_2.1G.csv,70.81049198731264,8.414897027730799,6.030327647306689
RandomForest,KBS_MokPo_LTE_2.1G.csv,62.26577916454771,7.890866819592618,5.924902545946056
RandomForest,KBS_SunCheon_LTE_2.1G.csv,167.6391158715388,12.947552505069782,9.3920342308671
RandomForest,KBS_GwangJu_LTE_2.1G.csv,65.81113606836969,8.112406305675874,6.09211858030623
MLP_joint,ALL,82.26512392177966,9.070012344080887,6.549811174092868
MLP_joint,MBC_CheongJu_LTE_2.1G.csv,59.634132019460615,7.722313903193823,6.045050508595858
MLP_joint,Broad_CheongJu_LTE_2.1G.csv,67.273297554718,8.202030087406287,6.419169808520841
MLP_joint,MBC_DaeJeon_LTE_2.1G.csv,78.24199145283737,8.845450325044926,6.897842860894548
MLP_joint,KBS_DaeJeon_LTE_2.1G.csv,65.52526001301683,8.09476744650622,6.2891425787245465
