,R,D,H,PL,F,freq_band
180,54957.09386684653,54133.68764060322,27.0,143.43364612669558,9.544068044350276,5G_3.5G
181,34440.8128910862,33261.46319302442,12.0,134.07061197610477,9.544068044350276,5G_3.5G
182,41008.2377646016,40133.60316926215,27.0,141.10892881106977,9.544068044350276,5G_3.5G
183,37019.6880559496,1179.201757875294,162.0,192.3831605639719,9.544068044350276,5G_3.5G
184,39657.45257500067,38497.80391508412,12.0,135.29564037982345,9.544068044350276,5G_3.5G
185,17645.72269554517,16776.46153012954,27.0,134.95561780257523,9.544068044350276,5G_3.5G
186,47595.367809904594,31301.40224786538,188.0,167.69526639451675,9.544068044350276,5G_3.5G
187,30520.178020414853,29595.921718958467,27.0,138.84226660567958,9.544068044350276,5G_3.5G
188,46281.8041711666,45545.44997841649,27.0,142.0614227818395,9.544068044350276,5G_3.5G
189,34445.881285037955,33404.858318882056,12.0,134.07189011874502,9.544068044350276,5G_3.5G
190,22720.89890548606,16882.327342463715,25.0,139.15009451267727,9.544068044350276,5G_3.5G
191,43176.10825387842,42325.93487489173,27.0,141.51301112280845,9.544068044350276,5G_3.5G
192,39860.9281478907,1179.1907588204165,388.0,235.03651534613587,9.544068044350276,5G_3.5G
193,52040.02763849389,51527.73908897685,-1268.0,137.65589447976294,9.544068044350276,5G_3.5G
194,64743.1599193888,1182.9185224317184,266.0,223.8283888605695,9.544068044350276,5G_3.5G
195,8739.238562466115,734.1582529264732,-19.0,122.1586160052267,9.544068044350276,5G_3.5G
196,49933.83538870029,49009.40610895764,27.0,142.66541226871007,9.544068044350276,5G_3.5G
197,59072.46631816825,48130.46192563666,337.0,175.75410855120853,9.544068044350276,5G_3.5G
198,31765.459748328707,733.2650229145364,99.0,173.58506227477372,9.544068044350276,5G_3.5G
199,59914.29109617924,3549.2108000057,219.0,206.34057764503729,9.544068044350276,5G_3.5G
200,44597.38762876984,43677.421181459154,27.0,141.7682278836837,9.544068044350276,5G_3.5G
201,21856.901133933254,11508.82775870812,214.0,165.29562088408758,9.544068044350276,5G_3.5G
202,29589.52916014819,13299.498080811052,188.0,165.52627527476074,9.544068044350276,5G_3.5G
203,49928.475613965406,49003.94597913807,27.0,142.66455557901108,9.544068044350276,5G_3.5G
204,52023.65009720711,51120.16352700407,27.0,142.9932283448999,9.544068044350276,5G_3.5G
205,47478.01909949427,5124.850542001745,396.0,210.56817740213975,9.544068044350276,5G_3.5G
206,38794.87874803722,37914.3341305389,27.0,140.67637235393673,9.544068044350276,5G_3.5G
207,4108.875567996587,3076.9278109944084,12.0,115.60360389713084,9.544068044350276,5G_3.5G
208,47245.327328225394,46322.598075089816,27.0,142.22484731636564,9.544068044350276,5G_3.5G
209,26830.67561755102,734.7406580156302,82.0,188.5410594747004,9.544068044350276,5G_3.5G
210,18301.29157398256,17415.704303337436,27.0,135.19739538260313,9.544068044350276,5G_3.5G
211,22061.07709110187,20965.23238264015,12.0,130.20167835374906,9.544068044350276,5G_3.5G
212,7828.740197382932,7083.728843640145,-47.0,121.20298172720156,9.544068044350276,5G_3.5G
213,34703.92079339935,924.4903216849312,239.0,179.71895423636514,9.544068044350276,5G_3.5G
214,49992.445784535135,49138.34276422937,27.0,142.6747749223815,9.544068044350276,5G_3.5G
215,36482.91309715096,35664.95591220311,27.0,140.20078699197907,9.544068044350276,5G_3.5G
216,54078.87412669823,41958.740220297565,309.0,173.9737422609888,9.544068044350276,5G_3.5G
217,35164.985231171275,34241.27515981249,27.0,139.91782705878913,9.544068044350276,5G_3.5G
218,36951.20698515882,3072.7605148713646,106.0,171.82131438170916,9.544068044350276,5G_3.5G
219,58037.51818778843,41744.824936937664,188.0,168.93800358192232,9.544068044350276,5G_3.5G
220,22034.3996877684,19101.464228776684,8.0,130.19116856787613,9.544068044350276,5G_3.5G
221,18070.663519504324,733.0092817946139,242.0,174.7089430254391,9.544068044350276,5G_3.5G
222,52292.090430230994,51376.75877773012,27.0,143.034463137245,9.544068044350276,5G_3.5G
223,43280.1726112173,40893.12511944328,5.0,136.05492379224071,9.544068044350276,5G_3.5G
224,24368.621301461048,22713.936066953956,10.0,131.06576328667006,9.544068044350276,5G_3.5G
225,55219.4537833718,54054.742375457885,12.0,138.1709862367934,9.544068044350276,5G_3.5G
226,30497.07139752444,29715.78542115404,27.0,138.83657953064773,9.544068044350276,5G_3.5G
227,40776.47183464295,39630.20841975758,12.0,135.53733702766115,9.544068044350276,5G_3.5G
228,46627.49091896628,7719.876703104495,494.0,180.6887215466849,9.544068044350276,5G_3.5G
229,35801.99958652675,33639.855687162,6.0,134.40728977313137,9.544068044350276,5G_3.5G
230,28397.06107217272,735.7875299047889,57.0,174.43817089654314,9.544068044350276,5G_3.5G
231,47865.879100741,42415.42313746084,42.0,152.04763037168536,9.544068044350276,5G_3.5G
232,21372.044085922505,10426.09360298359,337.0,169.4117393327363,9.544068044350276,5G_3.5G
233,30627.0594748335,14520.060291650692,-202.0,170.28939768406207,9.544068044350276,5G_3.5G
234,44942.1673810875,9184.471940720636,238.0,175.99232275107468,9.544068044350276,5G_3.5G
235,42850.25397217916,41952.992107572165,27.0,141.45344212289328,9.544068044350276,5G_3.5G
236,23011.424318611716,12670.202644529803,214.0,165.52095612935955,9.544068044350276,5G_3.5G
237,31863.45772134831,31034.093681003065,27.0,139.16683371415053,9.544068044350276,5G_3.5G
238,17108.578265378328,14218.821853717922,8.0,127.99342252629708,9.544068044350276,5G_3.5G
239,56759.89076590645,56008.35368858453,27.0,143.6937277430114,9.544068044350276,5G_3.5G
240,52973.37177358736,42033.54696950077,337.0,174.93994626781557,9.544068044350276,5G_3.5G
241,44869.06797425376,1849.0444731136447,202.0,167.58158019808678,9.544068044350276,5G_3.5G
242,22490.40826868448,21578.719233480708,27.0,136.61400169377927,9.544068044350276,5G_3.5G
243,43083.51502585722,41941.361009960245,12.0,136.0153666801723,9.544068044350276,5G_3.5G
244,39095.51792252209,38310.84244754452,27.0,140.73638211914454,9.544068044350276,5G_3.5G
245,42016.844823641375,41101.49147537416,27.0,141.29923232154508,9.544068044350276,5G_3.5G
246,58090.9809910324,52643.54107236322,42.0,153.42035536182502,9.544068044350276,5G_3.5G
247,32347.317415047488,29416.188724743435,8.0,133.52590951213676,9.544068044350276,5G_3.5G
248,7083.427871281819,4722.273896033,-22.0,120.33401362796916,9.544068044350276,5G_3.5G
249,37391.73005796573,734.5026867048284,139.0,178.91667292175418,9.544068044350276,5G_3.5G
250,53748.78276030853,2773.4787299488435,200.0,179.64957791270797,9.544068044350276,5G_3.5G
251,37928.71450220477,1182.140835407143,94.0,203.2335469766153,9.544068044350276,5G_3.5G
252,49804.17294285087,38863.67737035771,337.0,174.48724554328854,9.544068044350276,5G_3.5G
253,41766.42143404616,6513.378848196694,240.0,178.5120624104293,9.544068044350276,5G_3.5G
254,43031.24734785435,42137.82254850338,27.0,141.4865789451278,9.544068044350276,5G_3.5G
255,12219.113727789512,11310.893829029928,27.0,132.70642206067956,9.544068044350276,5G_3.5G
256,28895.279140002585,27978.4281603541,27.0,138.4333137612096,9.544068044350276,5G_3.5G
257,24139.50415378993,23218.95761681959,27.0,137.1180010539615,9.544068044350276,5G_3.5G
258,50123.6154463284,2882.444878986063,340.0,181.51651139711805,9.544068044350276,5G_3.5G
259,65136.29802987641,47872.23613639125,245.0,174.35953158774242,9.544068044350276,5G_3.5G
260,39749.51676188981,38671.22406975157,12.0,135.31578117431332,9.544068044350276,5G_3.5G
261,39616.35562455605,2392.5669392594773,89.0,190.94477389014176,9.544068044350276,5G_3.5G
262,51245.47592756561,40906.44789649832,214.0,170.54222463324572,9.544068044350276,5G_3.5G
263,52379.13782686167,736.5558616339548,208.0,219.3669228149589,9.544068044350276,5G_3.5G
264,39151.72510083392,33687.13208198915,42.0,150.6925180801528,9.544068044350276,5G_3.5G
265,38675.39504894492,37603.33177999951,12.0,135.07783927859268,9.544068044350276,5G_3.5G
266,52020.82811166289,2869.9379417460527,87.0,177.66099925350963,9.544068044350276,5G_3.5G
267,33917.25347668058,32757.34531040577,12.0,133.93755765026663,9.544068044350276,5G_3.5G
268,45353.06339068368,44563.31411924936,27.0,141.9009720275497,9.544068044350276,5G_3.5G
269,41587.34331023219,5938.686132021072,297.0,178.86960849195088,9.544068044350276,5G_3.5G
270,48180.43343524546,3547.507582603117,39.0,173.1511421486827,9.544068044350276,5G_3.5G
271,37975.01560733006,27626.21746535931,214.0,168.43273422446893,9.544068044350276,5G_3.5G
272,34842.38342990425,924.4804846358636,151.0,176.0448139460371,9.544068044350276,5G_3.5G
273,41921.15086914355,40772.93128123834,12.0,135.77780804701757,9.544068044350276,5G_3.5G
274,63450.31121346208,7450.477171696181,258.0,198.9965131779913,9.544068044350276,5G_3.5G
275,55340.91635613613,738.0921398371923,167.0,182.6491750967425,9.544068044350276,5G_3.5G
276,26487.07776771025,23558.723095846413,8.0,131.78982504201807,9.544068044350276,5G_3.5G
277,50382.95402697622,49484.041982663024,27.0,142.73690270122142,9.544068044350276,5G_3.5G
278,33625.18354481491,32840.14333658271,27.0,139.57541713444368,9.544068044350276,5G_3.5G
279,37099.481799170535,36177.899477124025,27.0,140.33013287841385,9.544068044350276,5G_3.5G
280,37458.98836365084,3476.373969218182,338.0,206.1899209935984,9.544068044350276,5G_3.5G
281,34997.433437938336,34169.015074946845,27.0,139.8811999225671,9.544068044350276,5G_3.5G
282,12981.273085121304,9440.23529437143,-14.0,134.46612785594405,9.544068044350276,5G_3.5G
283,37353.85047142002,36214.58707063189,12.0,134.77585162806153,9.544068044350276,5G_3.5G
284,38478.04211063738,731.4472889905409,227.0,181.5256485998086,9.544068044350276,5G_3.5G
285,49460.52858342061,3547.551542513572,795.0,186.98241119592296,9.544068044350276,5G_3.5G
286,13014.605704932128,1734.654454489733,-25.0,152.06966778802914,9.544068044350276,5G_3.5G
287,47238.35478416587,9704.367932798845,159.0,178.53360715714967,9.544068044350276,5G_3.5G
288,59246.40393156058,53796.71065396822,42.0,153.5632078966221,9.544068044350276,5G_3.5G
289,45912.87402727941,924.4706087356468,91.0,196.40702592870537,9.544068044350276,5G_3.5G
290,49595.483655570766,48717.02102395628,27.0,142.61116664226205,9.544068044350276,5G_3.5G
291,47669.42294785279,10929.383142289364,-152.0,163.19759013792913,9.544068044350276,5G_3.5G
292,21579.68665541173,8449.767307996764,138.0,172.35833086310134,9.544068044350276,5G_3.5G
293,40226.01728642007,734.5050905109003,224.0,219.6979491167016,9.544068044350276,5G_3.5G
294,46593.75882347072,45843.81860225735,27.0,142.11466690207257,9.544068044350276,5G_3.5G
295,29623.04797073986,28699.68093234114,27.0,138.6187774522198,9.544068044350276,5G_3.5G
296,45116.623936266566,34502.16753981182,266.0,171.637197185385,9.544068044350276,5G_3.5G
297,23643.99328874443,1734.0232135365354,364.0,178.87508009540392,9.544068044350276,5G_3.5G
298,25485.38167658736,24580.419882666956,27.0,137.5098610254206,9.544068044350276,5G_3.5G
299,43935.06246512434,2392.8048526112143,21.0,179.52436122392976,9.544068044350276,5G_3.5G
300,30048.59018540756,733.0162171025145,102.0,173.03894440778026,9.544068044350276,5G_3.5G
