global_epoch,task,epoch_in_task,train_loss,val_loss
39,MBC_CheongJu.csv,39,96.9262866973877,95.47367180718317
40,MBC_CheongJu.csv,40,96.83941268920898,93.62894439697266
41,MBC_CheongJu.csv,41,96.53594038221571,93.7806879679362
42,MBC_CheongJu.csv,42,97.12167633904352,93.6480975680881
43,MBC_CheongJu.csv,43,97.03027386135525,93.59157138400607
44,MBC_CheongJu.csv,44,96.68381288316515,94.19767252604167
45,MBC_CheongJu.csv,45,97.17919709947374,93.57593027750652
46,MBC_CheongJu.csv,46,97.22629102071126,93.6102049085829
47,MBC_CheongJu.csv,47,97.73974100748698,94.20865292019315
48,MBC_CheongJu.csv,48,97.10347896152072,93.53324211968317
49,MBC_CheongJu.csv,49,96.64536921183269,93.59895324707031
50,MBC_CheongJu.csv,50,98.1085917154948,93.75367228190105
51,MBC_CheongJu.csv,51,96.69916682773166,93.67386796739366
52,MBC_CheongJu.csv,52,96.3250035179986,93.69227684868707
53,MBC_CheongJu.csv,53,96.39373673333063,93.95109134250217
54,MBC_CheongJu.csv,54,96.92681630452473,93.9016825358073
55,MBC_CheongJu.csv,55,96.95517900254991,93.68721093071832
56,MBC_CheongJu.csv,56,97.36454306708441,93.64965057373047
57,MBC_CheongJu.csv,57,97.06384425693088,94.52402581108942
58,MBC_CheongJu.csv,58,97.78348943922255,93.53975338406033
59,MBC_CheongJu.csv,59,96.24497943454318,93.98546006944444
60,MBC_CheongJu.csv,60,96.72086482577853,93.66522894965277
61,MBC_CheongJu.csv,61,96.56866306728787,93.58132086859808
62,MBC_CheongJu.csv,62,96.70601971944173,93.52041371663411
63,MBC_CheongJu.csv,63,97.22743055555556,93.54052819146051
64,MBC_CheongJu.csv,64,96.40928035312228,93.5633061726888
65,MBC_CheongJu.csv,65,96.35771475897894,93.52872551812067
66,MBC_CheongJu.csv,66,97.10146162245009,94.72951253255208
67,MBC_CheongJu.csv,67,98.48702663845486,94.00307125515408
68,MBC_CheongJu.csv,68,96.33232710096571,93.5395745171441
69,MBC_CheongJu.csv,69,96.50913619995117,93.79325103759766
70,MBC_CheongJu.csv,70,96.69419373406305,93.59293450249567
71,MBC_CheongJu.csv,71,96.71223407321506,93.78116607666016
72,MBC_CheongJu.csv,72,97.11955388387044,93.93417527940538
73,MBC_CheongJu.csv,73,97.0710146162245,93.73084937201605
74,MBC_CheongJu.csv,74,96.45254686143663,93.63013882107205
75,MBC_CheongJu.csv,75,96.50363477071126,94.00503285725911
76,MBC_CheongJu.csv,76,97.00605816311307,93.6783218383789
77,MBC_CheongJu.csv,77,96.37022272745769,93.81171756320529
78,MBC_CheongJu.csv,78,96.12376997205946,93.62249586317274
79,MBC_CheongJu.csv,79,96.42170821295844,93.56089697943793
80,MBC_CheongJu.csv,80,96.55522918701172,93.96719445122613
81,MBC_CheongJu.csv,81,96.12849680582683,93.85203382703993
82,MBC_CheongJu.csv,82,96.52626270718045,93.75812700059679
83,MBC_CheongJu.csv,83,96.68088997734918,93.7970479329427
84,MBC_CheongJu.csv,84,97.44131681654189,93.79920535617404
85,MBC_CheongJu.csv,85,96.48839145236545,93.64349026150174
86,MBC_CheongJu.csv,86,96.72770182291667,93.73321278889973
87,MBC_CheongJu.csv,87,96.36051644219293,93.68171776665582
88,MBC_CheongJu.csv,88,96.15116797553168,93.74693298339844
89,MBC_CheongJu.csv,89,97.37036577860515,93.6718512641059
90,MBC_CheongJu.csv,90,96.79272821214464,93.66604529486762
91,MBC_CheongJu.csv,91,96.42033301459418,93.72976769341363
92,MBC_CheongJu.csv,92,96.54168298509386,93.712646484375
93,MBC_CheongJu.csv,93,96.6116271548801,93.70822991265192
94,MBC_CheongJu.csv,94,96.5208273993598,93.75252448187933
95,MBC_CheongJu.csv,95,96.40822092692058,93.70256212022569
96,MBC_CheongJu.csv,96,96.72577709621854,93.66920386420355
97,MBC_CheongJu.csv,97,96.42310545179579,93.69122144911024
98,MBC_CheongJu.csv,98,96.73723136054144,93.68529764811198
99,MBC_CheongJu.csv,99,96.12456639607747,93.67904493543837
