global_epoch,task,epoch_in_task,train_loss,val_loss
39,MBC_CheongJu.csv,39,97.1249016655816,94.02265930175781
40,MBC_CheongJu.csv,40,97.32179662916396,94.57662116156683
41,MBC_CheongJu.csv,41,95.90792920854356,93.58469136555989
42,MBC_CheongJu.csv,42,97.44355456034343,95.34646775987413
43,MBC_CheongJu.csv,43,97.454743915134,94.34739006890192
44,MBC_CheongJu.csv,44,97.49384032355414,93.5944069756402
45,MBC_CheongJu.csv,45,96.30281660291884,95.16895718044705
46,MBC_CheongJu.csv,46,98.0294533835517,93.92646026611328
47,MBC_CheongJu.csv,47,96.60190539889865,94.15432654486762
48,MBC_CheongJu.csv,48,97.05625534057617,93.55816819932726
49,MBC_CheongJu.csv,49,96.87630059983995,93.73122151692708
50,MBC_CheongJu.csv,50,96.10044235653348,94.22889963785808
51,MBC_CheongJu.csv,51,96.55558946397569,93.53818851047092
52,MBC_CheongJu.csv,52,96.67263730367024,94.34591590033637
53,MBC_CheongJu.csv,53,96.13389608595106,93.6028315226237
54,MBC_CheongJu.csv,54,97.42828920152452,93.57345750596788
55,MBC_CheongJu.csv,55,96.41361724005804,93.79054175482855
56,MBC_CheongJu.csv,56,96.92181163363986,93.6187761094835
57,MBC_CheongJu.csv,57,96.69701258341472,93.56146748860677
58,MBC_CheongJu.csv,58,96.5920836130778,95.01302252875433
59,MBC_CheongJu.csv,59,96.81989627414279,93.98515997992621
60,MBC_CheongJu.csv,60,97.35117954678006,93.58334096272786
61,MBC_CheongJu.csv,61,97.18854607476129,93.88492329915364
62,MBC_CheongJu.csv,62,97.16008928087022,93.56920369466145
63,MBC_CheongJu.csv,63,96.89146847195096,93.79124196370442
64,MBC_CheongJu.csv,64,97.3001054128011,93.5484373304579
65,MBC_CheongJu.csv,65,97.35101085238986,93.62788645426433
66,MBC_CheongJu.csv,66,97.39434390597873,93.5347663031684
67,MBC_CheongJu.csv,67,96.7794812520345,94.17727406819661
68,MBC_CheongJu.csv,68,96.7940067715115,93.54830508761935
69,MBC_CheongJu.csv,69,96.72675238715277,93.56932491726346
70,MBC_CheongJu.csv,70,97.28505579630534,93.5488035413954
71,MBC_CheongJu.csv,71,96.12468422783746,93.55743323432074
72,MBC_CheongJu.csv,72,98.09762785169814,93.54663170708551
73,MBC_CheongJu.csv,73,96.88459459940593,93.94435628255208
74,MBC_CheongJu.csv,74,96.74866655137804,93.54066043429904
75,MBC_CheongJu.csv,75,96.58323076036241,93.60956319173177
76,MBC_CheongJu.csv,76,96.15200636121962,93.56765662299262
77,MBC_CheongJu.csv,77,96.43965509202745,93.53864203559027
78,MBC_CheongJu.csv,78,97.34440464443631,93.94825744628906
79,MBC_CheongJu.csv,79,96.09031910366483,93.64530944824219
80,MBC_CheongJu.csv,80,96.79484473334418,93.54107411702473
81,MBC_CheongJu.csv,81,97.23430506388347,93.71707916259766
82,MBC_CheongJu.csv,82,97.12651761372884,93.60393524169922
83,MBC_CheongJu.csv,83,97.10038820902507,93.62618764241536
84,MBC_CheongJu.csv,84,98.12614663441975,93.61348978678386
85,MBC_CheongJu.csv,85,96.33567470974393,93.65333218044705
86,MBC_CheongJu.csv,86,97.62694125705295,93.66822475857205
87,MBC_CheongJu.csv,87,96.01064766777887,93.78231726752387
88,MBC_CheongJu.csv,88,96.597870932685,93.75947825113933
89,MBC_CheongJu.csv,89,96.88773981730144,93.7310553656684
90,MBC_CheongJu.csv,90,96.79245969984267,93.61454179551866
91,MBC_CheongJu.csv,91,96.83762338426378,93.67582617865668
92,MBC_CheongJu.csv,92,96.73200564914279,93.73253207736545
93,MBC_CheongJu.csv,93,96.4177712334527,93.71231333414714
94,MBC_CheongJu.csv,94,97.05713865492079,93.75762854682074
95,MBC_CheongJu.csv,95,96.50754335191515,93.74994320339627
96,MBC_CheongJu.csv,96,96.81068505181207,93.73300509982639
97,MBC_CheongJu.csv,97,96.67292891608344,93.71046702067058
98,MBC_CheongJu.csv,98,96.29996999104817,93.70810953776042
99,MBC_CheongJu.csv,99,96.51240475972493,93.69848971896701
